"location","context","source","target"
"doc.annexes.a2.3_learning_outcomes.table_cell.a89f17af6f31.195","annexes.a2.3_learning_outcomes|table_cell","AI-Implicit","AI-Impliciet"
"doc.annexes.a2.3_learning_outcomes.table_cell.1a9ce4382f6c","annexes.a2.3_learning_outcomes|table_cell","LO4.4.19","LO4.4.19"
"doc.annexes.a2.3_learning_outcomes.table_cell.b566c5a52def","annexes.a2.3_learning_outcomes|table_cell","Contribute to improvements in or solutions for digital sustainability.","Draag bij aan verbeteringen in of oplossingen voor digitale duurzaamheid."
"doc.annexes.a2.3_learning_outcomes.table_cell.befe7e438300.63","annexes.a2.3_learning_outcomes|table_cell","Highly advanced","Zeer gevorderd"
"doc.annexes.a2.3_learning_outcomes.table_cell.9ccc51193e6f.126","annexes.a2.3_learning_outcomes|table_cell","Skill","Vaardigheid"
"doc.annexes.a2.3_learning_outcomes.table_cell.a89f17af6f31.196","annexes.a2.3_learning_outcomes|table_cell","AI-Implicit","AI-Impliciet"
"doc.annexes.a2.3_learning_outcomes.paragraph.384494eac3ca","annexes.a2.3_learning_outcomes|paragraph","COMPETENCE AREA 5: PROBLEM IDENTIFICATION AND SOLVING - Competence 5.1 Identifying and solving technical problems","COMPETENTIEGEBIED 5: PROBLEEMIDENTIFICATIE EN -OPLOSSING - Competentie 5.1 Technische problemen identificeren en oplossen"
"doc.annexes.a2.3_learning_outcomes.paragraph.dddde90bda26.12","annexes.a2.3_learning_outcomes|paragraph","Back to Section 3","Terug naar Sectie 3"
"doc.annexes.a2.3_learning_outcomes.table_cell.6d47958fb696","annexes.a2.3_learning_outcomes|table_cell","LO5.1.02","LO5.1.02"
"doc.annexes.a2.3_learning_outcomes.table_cell.7ab369a04e82","annexes.a2.3_learning_outcomes|table_cell","Acknowledge the benefits of seeking assistance to help resolve technical problems.","Erken de voordelen van het zoeken naar hulp bij het oplossen van technische problemen."
"doc.annexes.a2.3_learning_outcomes.table_cell.737fe01ceb40.78","annexes.a2.3_learning_outcomes|table_cell","Basic","Basis"
"doc.annexes.a2.3_learning_outcomes.table_cell.70d2e7904e30.59","annexes.a2.3_learning_outcomes|table_cell","Attitude","Houding"
"doc.annexes.a2.3_learning_outcomes.table_cell.7c28f1540ccb.71","annexes.a2.3_learning_outcomes|table_cell","AI not Implicit or Explicit","AI niet impliciet of expliciet"
"doc.annexes.a2.3_learning_outcomes.table_cell.a49418fc98aa","annexes.a2.3_learning_outcomes|table_cell","LO5.1.03","LO5.1.03"
"doc.annexes.a2.3_learning_outcomes.table_cell.9f7be78260c3","annexes.a2.3_learning_outcomes|table_cell","Distinguish between operating systems and software.","Maak onderscheid tussen besturingssystemen en software."
"doc.annexes.a2.3_learning_outcomes.table_cell.737fe01ceb40.79","annexes.a2.3_learning_outcomes|table_cell","Basic","Basis"
"doc.annexes.a2.3_learning_outcomes.table_cell.99a3d093575a.136","annexes.a2.3_learning_outcomes|table_cell","Knowledge","Kennis"
"doc.annexes.a2.3_learning_outcomes.table_cell.7c28f1540ccb.72","annexes.a2.3_learning_outcomes|table_cell","AI not Implicit or Explicit","AI niet impliciet of expliciet"
"doc.annexes.a2.3_learning_outcomes.table_cell.71b19bb61300","annexes.a2.3_learning_outcomes|table_cell","LO5.1.04","LO5.1.04"
"doc.annexes.a2.3_learning_outcomes.table_cell.e033a56ad141","annexes.a2.3_learning_outcomes|table_cell","Identify main features of hardware, software, connectivity, and common peripheral devices.","Identificeer de belangrijkste kenmerken van hardware, software, connectiviteit en veelvoorkomende randapparatuur."
"doc.annexes.a2.3_learning_outcomes.table_cell.737fe01ceb40.80","annexes.a2.3_learning_outcomes|table_cell","Basic","Basis"
"doc.annexes.a2.3_learning_outcomes.table_cell.99a3d093575a.137","annexes.a2.3_learning_outcomes|table_cell","Knowledge","Kennis"
"doc.annexes.a2.3_learning_outcomes.table_cell.7c28f1540ccb.73","annexes.a2.3_learning_outcomes|table_cell","AI not Implicit or Explicit","AI niet impliciet of expliciet"
"doc.annexes.a2.3_learning_outcomes.table_cell.c751caf78366","annexes.a2.3_learning_outcomes|table_cell","LO5.1.05","LO5.1.05"
"doc.annexes.a2.3_learning_outcomes.table_cell.fe792172fe12","annexes.a2.3_learning_outcomes|table_cell","Recognise signs of common technical problems such as lack of connectivity, forgot password, forgot file location, unsaved document, or error in email or web address.","Herken tekenen van veelvoorkomende technische problemen zoals gebrek aan connectiviteit, vergeten wachtwoord, vergeten bestandslocatie, niet-opgeslagen document of fout in e-mail- of webadres."
"doc.annexes.a2.3_learning_outcomes.table_cell.737fe01ceb40.81","annexes.a2.3_learning_outcomes|table_cell","Basic","Basis"
"doc.annexes.a2.3_learning_outcomes.table_cell.99a3d093575a.138","annexes.a2.3_learning_outcomes|table_cell","Knowledge","Kennis"
"doc.annexes.a2.3_learning_outcomes.table_cell.7c28f1540ccb.74","annexes.a2.3_learning_outcomes|table_cell","AI not Implicit or Explicit","AI niet impliciet of expliciet"
"doc.annexes.a2.3_learning_outcomes.table_cell.74e1feb35f46","annexes.a2.3_learning_outcomes|table_cell","LO5.1.06","LO5.1.06"
"doc.annexes.a2.3_learning_outcomes.table_cell.1090e523c351","annexes.a2.3_learning_outcomes|table_cell","Follow instructions to solve common technical problems such as lack of connectivity, forgot password, forgot file location, unsaved document, or error in email or web address.","Volg instructies om veelvoorkomende technische problemen op te lossen, zoals gebrek aan connectiviteit, vergeten wachtwoord, vergeten bestandslocatie, niet-opgeslagen document of fout in e-mail- of webadres."
"doc.annexes.a2.3_learning_outcomes.table_cell.737fe01ceb40.82","annexes.a2.3_learning_outcomes|table_cell","Basic","Basis"
"doc.annexes.a2.3_learning_outcomes.table_cell.9ccc51193e6f.127","annexes.a2.3_learning_outcomes|table_cell","Skill","Vaardigheid"
"doc.annexes.a2.3_learning_outcomes.table_cell.7c28f1540ccb.75","annexes.a2.3_learning_outcomes|table_cell","AI not Implicit or Explicit","AI niet impliciet of expliciet"
"doc.annexes.a2.3_learning_outcomes.table_cell.96bdc4e55df8","annexes.a2.3_learning_outcomes|table_cell","LO5.1.07","LO5.1.07"
"doc.annexes.a2.3_learning_outcomes.table_cell.6d0bc597902d","annexes.a2.3_learning_outcomes|table_cell","Install and update software and applications, as needed.","Installeer en werk software en applicaties bij, indien nodig."
"doc.annexes.a2.3_learning_outcomes.table_cell.737fe01ceb40.83","annexes.a2.3_learning_outcomes|table_cell","Basic","Basis"
"doc.annexes.a2.3_learning_outcomes.table_cell.9ccc51193e6f.128","annexes.a2.3_learning_outcomes|table_cell","Skill","Vaardigheid"
"doc.annexes.a2.3_learning_outcomes.table_cell.7c28f1540ccb.76","annexes.a2.3_learning_outcomes|table_cell","AI not Implicit or Explicit","AI niet impliciet of expliciet"
"doc.annexes.a2.3_learning_outcomes.table_cell.b5a7e0bc54a2","annexes.a2.3_learning_outcomes|table_cell","LO5.1.08","LO5.1.08"
"doc.annexes.a2.3_learning_outcomes.table_cell.15d3055a690a","annexes.a2.3_learning_outcomes|table_cell","Acknowledge the benefits of building capacity and autonomy in addressing technical issues.","Erken de voordelen van het opbouwen van capaciteit en autonomie bij het aanpakken van technische problemen."
"doc.annexes.a2.3_learning_outcomes.table_cell.5219599e6d56.102","annexes.a2.3_learning_outcomes|table_cell","Intermediate","Gemiddeld"
"doc.annexes.a2.3_learning_outcomes.table_cell.70d2e7904e30.60","annexes.a2.3_learning_outcomes|table_cell","Attitude","Houding"
"doc.annexes.a2.3_learning_outcomes.table_cell.7c28f1540ccb.77","annexes.a2.3_learning_outcomes|table_cell","AI not Implicit or Explicit","AI niet impliciet of expliciet"
"doc.annexes.a2.3_learning_outcomes.table_cell.72fb50424703","annexes.a2.3_learning_outcomes|table_cell","LO5.1.09","LO5.1.09"
"doc.annexes.a2.3_learning_outcomes.table_cell.f177a387b774","annexes.a2.3_learning_outcomes|table_cell","Troubleshoot technical problems in digital environments using a variety of search and problem-solving strategies (whether human-assisted or digital technology-assisted).","Los technische problemen in digitale omgevingen op met behulp van verschillende zoek- en probleemoplossingsstrategieën (al dan niet met hulp van mensen of digitale technologie)."
"doc.annexes.a2.3_learning_outcomes.table_cell.5219599e6d56.103","annexes.a2.3_learning_outcomes|table_cell","Intermediate","Gemiddeld"
"doc.annexes.a2.3_learning_outcomes.table_cell.9ccc51193e6f.129","annexes.a2.3_learning_outcomes|table_cell","Skill","Vaardigheid"
"doc.annexes.a2.3_learning_outcomes.table_cell.a89f17af6f31.197","annexes.a2.3_learning_outcomes|table_cell","AI-Implicit","AI-Impliciet"
"doc.annexes.a2.3_learning_outcomes.table_cell.0837b7aa9de6","annexes.a2.3_learning_outcomes|table_cell","LO5.1.10","LO5.1.10"
"doc.annexes.a2.3_learning_outcomes.table_cell.a44561d95a3a","annexes.a2.3_learning_outcomes|table_cell","Update and adjust settings on main and peripheral digital devices to maintain good performance.","Werk instellingen bij en pas deze aan op belangrijke digitale apparaten en randapparatuur om goede prestaties te behouden."
"doc.annexes.a2.3_learning_outcomes.table_cell.5219599e6d56.104","annexes.a2.3_learning_outcomes|table_cell","Intermediate","Gemiddeld"
"doc.annexes.a2.3_learning_outcomes.table_cell.9ccc51193e6f.130","annexes.a2.3_learning_outcomes|table_cell","Skill","Vaardigheid"
"doc.annexes.a2.3_learning_outcomes.table_cell.7c28f1540ccb.78","annexes.a2.3_learning_outcomes|table_cell","AI not Implicit or Explicit","AI niet impliciet of expliciet"
"doc.annexes.a2.3_learning_outcomes.table_cell.81dc195dcff8","annexes.a2.3_learning_outcomes|table_cell","LO5.1.11","LO5.1.11"
"doc.annexes.a2.3_learning_outcomes.table_cell.94d65f50e65d","annexes.a2.3_learning_outcomes|table_cell","Prioritise the development of one's capacity to diagnose and solve technical issues in digital environments.","Geef prioriteit aan de ontwikkeling van het eigen vermogen om technische problemen in digitale omgevingen te diagnosticeren en op te lossen."
"doc.annexes.a2.3_learning_outcomes.table_cell.19894f0a1736.79","annexes.a2.3_learning_outcomes|table_cell","Advanced","Gevorderd"
"doc.annexes.a2.3_learning_outcomes.table_cell.70d2e7904e30.61","annexes.a2.3_learning_outcomes|table_cell","Attitude","Houding"
"doc.annexes.a2.3_learning_outcomes.table_cell.7c28f1540ccb.79","annexes.a2.3_learning_outcomes|table_cell","AI not Implicit or Explicit","AI niet impliciet of expliciet"
"doc.annexes.a2.3_learning_outcomes.table_cell.e1ab1f93bda5","annexes.a2.3_learning_outcomes|table_cell","LO5.1.12","LO5.1.12"
"doc.annexes.a2.3_learning_outcomes.table_cell.d2800e2c6f79","annexes.a2.3_learning_outcomes|table_cell","Assist others to diagnose and solve technical problems in digital environments.","Help anderen bij het diagnosticeren en oplossen van technische problemen in digitale omgevingen."
"doc.annexes.a2.3_learning_outcomes.table_cell.19894f0a1736.80","annexes.a2.3_learning_outcomes|table_cell","Advanced","Gevorderd"
"doc.annexes.a2.3_learning_outcomes.table_cell.9ccc51193e6f.131","annexes.a2.3_learning_outcomes|table_cell","Skill","Vaardigheid"
"doc.annexes.a2.3_learning_outcomes.table_cell.7c28f1540ccb.80","annexes.a2.3_learning_outcomes|table_cell","AI not Implicit or Explicit","AI niet impliciet of expliciet"
"doc.annexes.a2.3_learning_outcomes.table_cell.989312649d94","annexes.a2.3_learning_outcomes|table_cell","LO5.1.13","LO5.1.13"
"doc.annexes.a2.3_learning_outcomes.table_cell.2170cf2f667f","annexes.a2.3_learning_outcomes|table_cell","Use various solution-finding strategies to troubleshoot complex technical problems in digital environments.","Gebruik verschillende strategieën voor het vinden van oplossingen om complexe technische problemen in digitale omgevingen op te lossen."
"doc.annexes.a2.3_learning_outcomes.table_cell.19894f0a1736.81","annexes.a2.3_learning_outcomes|table_cell","Advanced","Gevorderd"
"doc.annexes.a2.3_learning_outcomes.table_cell.9ccc51193e6f.132","annexes.a2.3_learning_outcomes|table_cell","Skill","Vaardigheid"
"doc.annexes.a2.3_learning_outcomes.table_cell.a89f17af6f31.198","annexes.a2.3_learning_outcomes|table_cell","AI-Implicit","AI-Impliciet"
"doc.annexes.a2.3_learning_outcomes.table_cell.146e9065024c","annexes.a2.3_learning_outcomes|table_cell","LO5.1.14","LO5.1.14"
"doc.annexes.a2.3_learning_outcomes.table_cell.d30355fb0681","annexes.a2.3_learning_outcomes|table_cell","Help others to develop confidence and autonomy to solve technical problems in digital environments.","Help anderen om vertrouwen en autonomie te ontwikkelen bij het oplossen van technische problemen in digitale omgevingen."
"doc.annexes.a2.3_learning_outcomes.table_cell.befe7e438300.64","annexes.a2.3_learning_outcomes|table_cell","Highly advanced","Zeer gevorderd"
"doc.annexes.a2.3_learning_outcomes.table_cell.70d2e7904e30.62","annexes.a2.3_learning_outcomes|table_cell","Attitude","Houding"
"doc.annexes.a2.3_learning_outcomes.table_cell.7c28f1540ccb.81","annexes.a2.3_learning_outcomes|table_cell","AI not Implicit or Explicit","AI niet impliciet of expliciet"
"doc.annexes.a2.3_learning_outcomes.table_cell.1b872862e8c1","annexes.a2.3_learning_outcomes|table_cell","LO5.1.15","LO5.1.15"
"doc.annexes.a2.3_learning_outcomes.table_cell.ceb76d27e062","annexes.a2.3_learning_outcomes|table_cell","Design or deliver training to support the use of digital devices or systems.","Ontwerp of verzorg trainingen ter ondersteuning van het gebruik van digitale apparaten of systemen."
"doc.annexes.a2.3_learning_outcomes.table_cell.befe7e438300.65","annexes.a2.3_learning_outcomes|table_cell","Highly advanced","Zeer gevorderd"
"doc.annexes.a2.3_learning_outcomes.table_cell.9ccc51193e6f.133","annexes.a2.3_learning_outcomes|table_cell","Skill","Vaardigheid"
"doc.annexes.a2.3_learning_outcomes.table_cell.a89f17af6f31.199","annexes.a2.3_learning_outcomes|table_cell","AI-Implicit","AI-Impliciet"
"doc.annexes.a2.3_learning_outcomes.paragraph.82f365d362a7","annexes.a2.3_learning_outcomes|paragraph","COMPETENCE AREA 5: PROBLEM IDENTIFICATION AND SOLVING - Competence 5.2 Identifying needs and digital technological responses","COMPETENTIEGEBIED 5: PROBLEEMIDENTIFICATIE EN -OPLOSSING - Competentie 5.2 Behoeften en technologische antwoorden identificeren"
"doc.annexes.a2.3_learning_outcomes.paragraph.dddde90bda26.13","annexes.a2.3_learning_outcomes|paragraph","Back to Section 3","Terug naar Sectie 3"
"doc.annexes.a2.3_learning_outcomes.table_cell.7f105e626849.11","annexes.a2.3_learning_outcomes|table_cell","ID","ID"
"doc.annexes.a2.3_learning_outcomes.table_cell.6b3e8b9eee21.11","annexes.a2.3_learning_outcomes|table_cell","Learning Outcome","Leerresultaat"
"doc.annexes.a2.3_learning_outcomes.table_cell.58455a4223da.11","annexes.a2.3_learning_outcomes|table_cell","Proficiency level","Niveau van bekwaamheid"
"doc.annexes.a2.3_learning_outcomes.table_cell.7749ae779807.11","annexes.a2.3_learning_outcomes|table_cell","Knowledge, skill or attitude","Kennis, vaardigheid of houding"
"doc.annexes.a2.3_learning_outcomes.table_cell.37f41acb6b6e.11","annexes.a2.3_learning_outcomes|table_cell","AI label","AI-label"
"doc.annexes.a2.3_learning_outcomes.table_cell.3d0f133631d8","annexes.a2.3_learning_outcomes|table_cell","LO5.2.01","LO5.2.01"
"doc.annexes.a2.3_learning_outcomes.table_cell.407074462200","annexes.a2.3_learning_outcomes|table_cell","Acknowledge the importance of individual choice in digital environment configurations.","Erken het belang van individuele keuze bij de configuratie van digitale omgevingen."
"doc.annexes.a2.3_learning_outcomes.table_cell.737fe01ceb40.84","annexes.a2.3_learning_outcomes|table_cell","Basic","Basis"
"doc.annexes.a2.3_learning_outcomes.table_cell.70d2e7904e30.63","annexes.a2.3_learning_outcomes|table_cell","Attitude","Houding"
"doc.annexes.a2.3_learning_outcomes.table_cell.7c28f1540ccb.82","annexes.a2.3_learning_outcomes|table_cell","AI not Implicit or Explicit","AI niet impliciet of expliciet"
"doc.annexes.a2.3_learning_outcomes.table_cell.d5b8c8c8847c","annexes.a2.3_learning_outcomes|table_cell","LO5.2.02","LO5.2.02"
"doc.annexes.a2.3_learning_outcomes.table_cell.daff1d71408a","annexes.a2.3_learning_outcomes|table_cell","Recognise common ways in which features of digital environments can be adjusted to meet users' needs and preferences.","Herken gangbare manieren waarop kenmerken van digitale omgevingen kunnen worden aangepast om aan de behoeften en voorkeuren van gebruikers te voldoen."
"doc.annexes.a2.3_learning_outcomes.table_cell.737fe01ceb40.85","annexes.a2.3_learning_outcomes|table_cell","Basic","Basis"
"doc.annexes.a2.3_learning_outcomes.table_cell.99a3d093575a.139","annexes.a2.3_learning_outcomes|table_cell","Knowledge","Kennis"
"doc.annexes.a2.3_learning_outcomes.table_cell.7c28f1540ccb.83","annexes.a2.3_learning_outcomes|table_cell","AI not Implicit or Explicit","AI niet impliciet of expliciet"
"doc.annexes.a2.3_learning_outcomes.table_cell.393f84e65539","annexes.a2.3_learning_outcomes|table_cell","LO5.2.03","LO5.2.03"
"doc.annexes.a2.3_learning_outcomes.table_cell.3851bc2e016f","annexes.a2.3_learning_outcomes|table_cell","Recognise the concept and purpose of a digital assistance tool.","Herken het concept en het doel van een digitale hulptool (digital assistance tool)."
"doc.annexes.a2.3_learning_outcomes.table_cell.737fe01ceb40.86","annexes.a2.3_learning_outcomes|table_cell","Basic","Basis"
"doc.annexes.a2.3_learning_outcomes.table_cell.99a3d093575a.140","annexes.a2.3_learning_outcomes|table_cell","Knowledge","Kennis"
"doc.annexes.a2.3_learning_outcomes.table_cell.a89f17af6f31.200","annexes.a2.3_learning_outcomes|table_cell","AI-Implicit","AI-Impliciet"
"doc.annexes.a2.3_learning_outcomes.table_cell.422bb71c1d80","annexes.a2.3_learning_outcomes|table_cell","LO5.2.04","LO5.2.04"
"doc.annexes.a2.3_learning_outcomes.table_cell.097eceeb6cd6","annexes.a2.3_learning_outcomes|table_cell","Recognise the presence of AI systems in digital assistance tools.","Herken de aanwezigheid van AI-systemen in digitale hulptools."
"doc.annexes.a2.3_learning_outcomes.table_cell.737fe01ceb40.87","annexes.a2.3_learning_outcomes|table_cell","Basic","Basis"
"doc.annexes.a2.3_learning_outcomes.table_cell.99a3d093575a.141","annexes.a2.3_learning_outcomes|table_cell","Knowledge","Kennis"
"doc.annexes.a2.3_learning_outcomes.table_cell.f189d8dbcf94.55","annexes.a2.3_learning_outcomes|table_cell","AI-Explicit","AI-Expliciet"
"doc.annexes.a2.3_learning_outcomes.table_cell.9a81ec133d53","annexes.a2.3_learning_outcomes|table_cell","LO5.2.05","LO5.2.05"
"doc.annexes.a2.3_learning_outcomes.table_cell.164961ee4cec","annexes.a2.3_learning_outcomes|table_cell","Identify common assistive technologies and their purposes.","Identificeer veelvoorkomende ondersteunende technologieën (assistive technologies) en hun doelen."
"doc.annexes.a2.3_learning_outcomes.table_cell.737fe01ceb40.88","annexes.a2.3_learning_outcomes|table_cell","Basic","Basis"
"doc.annexes.a2.3_learning_outcomes.table_cell.99a3d093575a.142","annexes.a2.3_learning_outcomes|table_cell","Knowledge","Kennis"
"doc.annexes.a2.3_learning_outcomes.table_cell.a89f17af6f31.201","annexes.a2.3_learning_outcomes|table_cell","AI-Implicit","AI-Impliciet"
"doc.annexes.a2.3_learning_outcomes.table_cell.5b6220595439","annexes.a2.3_learning_outcomes|table_cell","LO5.2.06","LO5.2.06"
"doc.annexes.a2.3_learning_outcomes.table_cell.a2fd37782bf6","annexes.a2.3_learning_outcomes|table_cell","Use assistive technologies, if and as required.","Gebruik ondersteunende technologieën, indien en zoals vereist."
"doc.annexes.a2.3_learning_outcomes.table_cell.737fe01ceb40.89","annexes.a2.3_learning_outcomes|table_cell","Basic","Basis"
"doc.annexes.a2.3_learning_outcomes.table_cell.9ccc51193e6f.134","annexes.a2.3_learning_outcomes|table_cell","Skill","Vaardigheid"
"doc.annexes.a2.3_learning_outcomes.table_cell.a89f17af6f31.202","annexes.a2.3_learning_outcomes|table_cell","AI-Implicit","AI-Impliciet"
"doc.annexes.a2.3_learning_outcomes.table_cell.91edfc40af1f","annexes.a2.3_learning_outcomes|table_cell","LO5.2.07","LO5.2.07"
"doc.annexes.a2.3_learning_outcomes.table_cell.1a8c3f256595","annexes.a2.3_learning_outcomes|table_cell","Use digital assistance tools to support simple tasks, with awareness of their benefits and limitations.","Gebruik digitale hulptools om eenvoudige taken te ondersteunen, met bewustzijn van hun voordelen en beperkingen."
"doc.annexes.a2.3_learning_outcomes.table_cell.737fe01ceb40.90","annexes.a2.3_learning_outcomes|table_cell","Basic","Basis"
"doc.annexes.a2.3_learning_outcomes.table_cell.9ccc51193e6f.135","annexes.a2.3_learning_outcomes|table_cell","Skill","Vaardigheid"
"doc.annexes.a2.3_learning_outcomes.table_cell.a89f17af6f31.203","annexes.a2.3_learning_outcomes|table_cell","AI-Implicit","AI-Impliciet"
"doc.annexes.a2.3_learning_outcomes.table_cell.da9c3e155da4","annexes.a2.3_learning_outcomes|table_cell","LO5.2.08","LO5.2.08"
"doc.annexes.a2.3_learning_outcomes.table_cell.7752a68420f7","annexes.a2.3_learning_outcomes|table_cell","Acknowledge the benefits of exploring adaptations to digital environment configurations and features of digital assistance tools.","Erken de voordelen van het verkennen van aanpassingen aan configuraties van digitale omgevingen en functies van digitale hulptools."
